Name,PrimaryTechnology,StatusDetail,x_Coordinate,y_Coordinate,Status,SizeCategory
North Clyde Recycling Centre (resubmission),Anaerobic Digestion,Awaiting Construction,250389,669199,In development,Large (1MW+)
Morayhill AD,Anaerobic Digestion,Operational,274982,849481,Operational,Large (1MW+)
Glenfiddich Distillery AD (Extension),Anaerobic Digestion,Awaiting Construction,332714,841065,In development,Large (1MW+)
Inchdairnie,Anaerobic Digestion,Operational,324885,699061,Operational,Large (1MW+)
Glenfiddich Distillery,Anaerobic Digestion,Operational,332714,841065,Operational,Large (1MW+)
Energen biogas cumbernauld,Anaerobic Digestion,Operational,277889,676918,Operational,Large (1MW+)
Binn Farm AD (extension),Anaerobic Digestion,Operational,317439,713725,Operational,Large (1MW+)
Glasgow Renewable Energy and Recycling Centre (Waste AD),Anaerobic Digestion,Operational,259509,662366,Operational,Large (1MW+)
Millerhill AD (Waste AD),Anaerobic Digestion,Operational,332400,670800,Operational,Large (1MW+)
Barkip Anaerobic Digestor (Waste AD),Anaerobic Digestion,Operational,229333,650530,Operational,Large (1MW+)
GlaxoSmithKline (Waste AD),Anaerobic Digestion,Operational,234362,636566,Operational,Large (1MW+)
West Roucan Farm,Anaerobic Digestion,Operational,302227,578926,Operational,Large (1MW+)
Pure Malt Products AD,Anaerobic Digestion,Operational,351977,674000,Operational,Large (1MW+)
Lochhead Landfill CHP,Anaerobic Digestion,Operational,308683,690319,Operational,Large (1MW+)
Deerdykes Composting and Organics Recycling Facility (Waste AD),Anaerobic Digestion,Operational,277924,676998,Operational,Large (1MW+)
Cumbernauld BioPlant  (Waste AD),Anaerobic Digestion,Operational,277924,676998,Operational,Large (1MW+)
Gleneagles Hotel Biomass Boiler Plant Room,Biomass,Application Submitted,291629,711481,In development,Large (1MW+)
Acharn Forest Killin Biomass Plant,Biomass,Operational,256236,731409,Operational,Large (1MW+)
Liberty Steel Dalzell,Biomass,Operational,275801,656790,Operational,Large (1MW+)
Markinch Biomass CHP Plant,Biomass,Operational,327988,701561,Operational,Large (1MW+)
