Name,PrimaryTechnology,StatusDetail,x_Coordinate,y_Coordinate,Status,SizeCategory,longitude,latitude
North Clyde Recycling Centre (resubmission),Anaerobic Digestion,Awaiting Construction,250389.0,669199.0,In development,Large (1MW+),-4.393966032912421,55.89260051509423
Morayhill AD,Anaerobic Digestion,Operational,274982.0,849481.0,Operational,Large (1MW+),-4.08886278057437,57.51816479675825
Glenfiddich Distillery AD (Extension),Anaerobic Digestion,Awaiting Construction,332714.0,841065.0,In development,Large (1MW+),-3.1229922886186863,57.45485473348687
Inchdairnie,Anaerobic Digestion,Operational,324885.0,699061.0,Operational,Large (1MW+),-3.2115486116566374,56.17823694294421
Glenfiddich Distillery,Anaerobic Digestion,Operational,332714.0,841065.0,Operational,Large (1MW+),-3.1229922886186863,57.45485473348687
Energen biogas cumbernauld,Anaerobic Digestion,Operational,277889.0,676918.0,Operational,Large (1MW+),-3.9580393622234555,55.96967661346297
Binn Farm AD (extension),Anaerobic Digestion,Operational,317439.0,713725.0,Operational,Large (1MW+),-3.336032479968896,56.30871291621955
Glasgow Renewable Energy and Recycling Centre (Waste AD),Anaerobic Digestion,Operational,259509.0,662366.0,Operational,Large (1MW+),-4.244718247989616,55.83400361615001
Millerhill AD (Waste AD),Anaerobic Digestion,Operational,332400.0,670800.0,Operational,Large (1MW+),-3.0833837584657617,55.92549887248525
Barkip Anaerobic Digestor (Waste AD),Anaerobic Digestion,Operational,229333.0,650530.0,Operational,Large (1MW+),-4.7185519952828985,55.718049120590834
GlaxoSmithKline (Waste AD),Anaerobic Digestion,Operational,234362.0,636566.0,Operational,Large (1MW+),-4.630164520147719,55.59446020528091
West Roucan Farm,Anaerobic Digestion,Operational,302227.0,578926.0,Operational,Large (1MW+),-3.533631936355733,55.09509297026411
Pure Malt Products AD,Anaerobic Digestion,Operational,351977.0,674000.0,Operational,Large (1MW+),-2.77070179738356,55.9566049423724
Lochhead Landfill CHP,Anaerobic Digestion,Operational,308683.0,690319.0,Operational,Large (1MW+),-3.4694397391227176,56.096889510492474
Deerdykes Composting and Organics Recycling Facility (Waste AD),Anaerobic Digestion,Operational,277924.0,676998.0,Operational,Large (1MW+),-3.957515260136497,55.970403868245
Cumbernauld BioPlant  (Waste AD),Anaerobic Digestion,Operational,277924.0,676998.0,Operational,Large (1MW+),-3.957515260136497,55.970403868245
Gleneagles Hotel Biomass Boiler Plant Room,Biomass,Application Submitted,291629.0,711481.0,In development,Large (1MW+),-3.7520802658906556,56.28336084037628
Acharn Forest Killin Biomass Plant,Biomass,Operational,256236.0,731409.0,Operational,Large (1MW+),-4.3342184435330875,56.452841315044154
Liberty Steel Dalzell,Biomass,Operational,275801.0,656790.0,Operational,Large (1MW+),-3.9822356422856497,55.78840472902545
Markinch Biomass CHP Plant,Biomass,Operational,327988.0,701561.0,Operational,Large (1MW+),-3.162256491531237,56.20117288824528
Harbour Road,Biomass,Operational,230930.0,631425.0,Operational,Large (1MW+),-4.681413882854169,55.54713847656456
Rothes Bio-Plant,Biomass,Operational,327767.0,849116.0,Operational,Large (1MW+),-3.2077998330644784,57.526396028774464
Sustainable Power and Research Campus,Biomass,Operational,345036.0,719505.0,Operational,Large (1MW+),-2.8912704452060303,56.364643091904284
Speyside Biomass CHP Plant,Biomass,Operational,327641.0,845585.0,Operational,Large (1MW+),-3.2088541483955852,57.494665966271924
Pulteney Distillery,Biomass,Operational,336714.0,950114.0,Operational,Large (1MW+),-3.0855369335741423,58.43472412755567
Diageo Biomass Energy Project,Biomass,Operational,334567.0,700177.0,Operational,Large (1MW+),-3.0558994914739808,56.18969181851574
Stevens Croft,Biomass,Operational,312100.0,585100.0,Operational,Large (1MW+),-3.3808888930290864,55.152405546541836
Macphie of Glenbervie,Biomass,Operational,376500.0,780500.0,Operational,Large (1MW+),-2.387587690221066,56.91520551171191
Caledonian Papermill,Biomass,Operational,233710.0,634940.0,Operational,Large (1MW+),-4.639518865411924,55.57964365767688
Westfield Biomass Power Station,Biomass,Operational,319000.0,695100.0,Operational,Large (1MW+),-3.3051092878614456,56.14169434608904
Invergordon Pellet Mill,Biomass,Operational,271390.0,870450.0,Operational,Large (1MW+),-4.159927084162005,57.705376022690885
Cowie Biomass Facility,Biomass,Operational,284085.0,688685.0,Operational,Large (1MW+),-3.863913688402545,56.076879349074865
Binn Farm,Energy From Waste,Awaiting Construction,316911.0,713003.0,In development,Large (1MW+),-3.344336036141277,56.3021358159126
Thainstone Energy Park Project ERF,Energy From Waste,Application Submitted,378061.0,818551.0,In development,Large (1MW+),-2.3652957942562938,57.25709022175002
South Clyde Energy Centre,Energy From Waste,Awaiting Construction,252615.0,665698.0,In development,Large (1MW+),-4.356499342123355,55.86185840500645
Levenseat Waste Management Facility,Energy From Waste,Awaiting Construction,293881.0,657597.0,In development,Large (1MW+),-3.6943721785701116,55.799962824745066
Killoch Depot,Energy From Waste,Awaiting Construction,248650.0,620732.0,In development,Large (1MW+),-4.394999293387323,55.45696616936455
Pond Green Energy Park,Energy From Waste,Awaiting Construction,296452.0,667203.0,In development,Large (1MW+),-3.6570471113345295,55.886792767274585
Binn Eco Park,Energy From Waste,Awaiting Construction,317233.0,713295.0,In development,Large (1MW+),-3.3392258485032116,56.304814835770316
Dunbar EfW (previously Oxwellmains EfW),Energy From Waste,Operational,371051.0,675563.0,Operational,Large (1MW+),-2.4654046462933916,55.97217892801312
Glasgow Renewable Energy and Recycling Centre (ACT),Energy From Waste,Operational,259509.0,662366.0,Operational,Large (1MW+),-4.244718247989616,55.83400361615001
Baldovie Industrial Estate (Forties Road),Energy From Waste,Under Construction,344564.0,732870.0,In development,Large (1MW+),-2.9017471529918932,56.48464432899035
Coatbridge Material Recovery and Renewable Energy Facility,Energy From Waste,Under Construction,274352.0,662620.0,In development,Large (1MW+),-4.008019907837401,55.84037972254346
Oldhall Industrial Estate,Energy From Waste,Awaiting Construction,233712.0,636561.0,In development,Large (1MW+),-4.6404644265961545,55.59419371550222
East Tullos,Energy From Waste,Under Construction,395448.0,803990.0,In development,Large (1MW+),-2.0768295687724225,57.126796342002216
Achnabreck,Energy From Waste,Awaiting Construction,192406.0,690450.0,In development,Large (1MW+),-5.33602537860179,56.061709900067214
Charlesfield Biomass CHP Plant,Energy From Waste,Operational,358892.0,629839.0,Operational,Large (1MW+),-2.6532941878405194,55.560489607115564
Millerhill EfW (resubmission),Energy From Waste,Operational,332352.0,670580.0,Operational,Large (1MW+),-3.0840965096780493,55.92351581296359
CalaChem Fine Chemicals (Grangemouth),Energy From Waste,Under Construction,291830.0,681210.0,In development,Large (1MW+),-3.736526812513372,56.01156785286672
Avondale Quarry (Pilot),Energy From Waste,Operational,295367.0,678750.0,Operational,Large (1MW+),-3.6788666492854243,55.990260668399884
Levenseat EfW,Energy From Waste,Operational,294854.0,655234.0,Operational,Large (1MW+),-3.677945851090507,55.7789535647156
Baldovie,Energy From Waste,Operational,344500.0,733100.0,Operational,Large (1MW+),-2.9028353826607023,56.486702816012404
"Barr River, Loch Teacuis",Hydro,Awaiting Construction,161763.0,755977.0,In development,Large (1MW+),-5.886420614802787,56.63480398523702
Allt Charnan,Hydro,Awaiting Construction,214370.0,748440.0,In development,Large (1MW+),-5.024718709816216,56.59100733462386
